trade_id,ticker,side,entry_price,sb_prob,yes_gap,no_gap,stake,fee_taker,fee_maker,entry_time,settle_time,result,pnl_taker,pnl_maker,status
KXNBAGAME-26MAY10SASMIN-SAS_YES_2026-05-02T21-59-56,KXNBAGAME-26MAY10SASMIN-SAS,YES,0.72,0.8588,0.1388,-0.2188,100.0,1.96,0.49,2026-05-02T21:59:56.810440+00:00,,,,,open
KXNBAGAME-26MAY10SASMIN-MIN_NO_2026-05-02T21-59-56,KXNBAGAME-26MAY10SASMIN-MIN,NO,0.71,0.1412,-0.2188,0.1488,100.0,2.03,0.51,2026-05-02T21:59:56.810440+00:00,,,,,open
KXNBAGAME-26MAY08SASMIN-SAS_YES_2026-05-02T21-59-56,KXNBAGAME-26MAY08SASMIN-SAS,YES,0.68,0.8588,0.1788,-0.1988,100.0,2.24,0.56,2026-05-02T21:59:56.810440+00:00,,,,,open
KXNBAGAME-26MAY08SASMIN-MIN_NO_2026-05-02T21-59-56,KXNBAGAME-26MAY08SASMIN-MIN,NO,0.68,0.1412,-0.1988,0.1788,100.0,2.24,0.56,2026-05-02T21:59:56.810440+00:00,,,,,open
KXNBAGAME-26MAY09OKCLAL-LAL_NO_2026-05-03T15-32-06,KXNBAGAME-26MAY09OKCLAL-LAL,NO,0.75,0.1055,-0.1645,0.1445,100.0,1.75,0.44,2026-05-03T15:32:06.082772+00:00,,,,,open
KXNBAGAME-26MAY08NYKPHI-NYK_YES_2026-05-03T16-52-16,KXNBAGAME-26MAY08NYKPHI-NYK,YES,0.6,0.71,0.11,-0.14,100.0,2.8,0.7,2026-05-03T16:52:16.428384+00:00,,,,,open
KXNBAGAME-26MAY11OKCLAL-LAL_NO_2026-05-03T17-02-18,KXNBAGAME-26MAY11OKCLAL-LAL,NO,0.69,0.1055,-0.2545,0.2045,100.0,2.17,0.54,2026-05-03T17:02:18.389642+00:00,,,,,open
