ticker,title,game_date,home_team,away_team,kalshi_team_side,kalshi_prev_price,yes_bid,yes_ask,sb_prob_normed,gap,result,volume,yes_side_won
KXNBAGAME-26FEB03PHXPOR-POR,Phoenix at Portland Winner?,2026-02-04,Portland Trail Blazers,Phoenix Suns,home,0.39,0.0,1.0,0.6328502415458938,0.24285024154589374,no,143046.00,0
KXNBAGAME-26FEB03PHIGSW-PHI,Philadelphia at Golden State Winner?,2026-02-04,Golden State Warriors,Philadelphia 76ers,away,0.52,0.0,1.0,0.6262376237623761,0.10623762376237611,yes,169088.00,1
KXNBAGAME-26FEB03DENDET-DET,Denver at Detroit Winner?,2026-02-04,Detroit Pistons,Denver Nuggets,home,0.66,0.0,1.0,0.6817155756207675,0.021715575620767424,yes,59421.00,1
KXNBAGAME-26FEB03NYKWAS-WAS,New York at Washington Winner?,2026-02-04,Washington Wizards,New York Knicks,home,0.16,0.0,1.0,0.07074175824175824,-0.08925824175824176,no,22220.00,0
KXNBAGAME-26FEB03LALBKN-LAL,Los Angeles L at Brooklyn Winner?,2026-02-04,Brooklyn Nets,Los Angeles Lakers,away,0.77,0.0,1.0,0.96875,0.19874999999999998,yes,83712.00,1
KXNBAGAME-26FEB03BOSDAL-DAL,Boston at Dallas Winner?,2026-02-04,Dallas Mavericks,Boston Celtics,home,0.3,0.0,1.0,0.2103448275862069,-0.08965517241379309,no,64492.00,0
KXNBAGAME-26FEB03ATLMIA-MIA,Atlanta at Miami Winner?,2026-02-04,Miami Heat,Atlanta Hawks,home,0.62,0.0,1.0,0.26597938144329897,-0.354020618556701,no,69099.00,0
KXNBAGAME-26FEB03ORLOKC-ORL,Orlando at Oklahoma City Winner?,2026-02-04,Oklahoma City Thunder,Orlando Magic,away,0.28,0.0,1.0,0.028848900314195947,-0.25115109968580407,no,87098.00,0
KXNBAGAME-26FEB04NOPMIL-NOP,New Orleans at Milwaukee Winner?,2026-02-05,New York Knicks,Denver Nuggets,home,0.63,0.0,1.0,0.38141809290953554,-0.24858190709046446,no,182015.00,0
KXNBAGAME-26FEB04MINTOR-TOR,Minnesota at Toronto Winner?,2026-02-05,Toronto Raptors,Minnesota Timberwolves,home,0.49,0.0,1.0,0.4311224489795918,-0.0588775510204082,no,149211.00,0
