strategy,monthly_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,calmar_ratio,win_rate_pct,profit_factor,n_trades,final_equity
Momentum_Conservative,0.74,9.31,0.38,-9.65,0.96,43.41,1.44,129,130922.09
Momentum_Aggressive,1.69,22.22,0.97,-17.03,1.3,44.72,1.73,123,183576.65
Momentum_MaxConcentrated,3.86,57.49,2.09,-21.19,2.71,49.61,2.2,127,395561.9
Breakout_LooseFilters,1.78,23.63,1.36,-15.4,1.53,47.2,1.75,214,190094.74
Breakout_TightFilters,0.22,2.68,-0.31,-10.43,0.26,48.48,1.33,33,108345.18
FastEMA_HighConviction,0.87,10.97,0.38,-26.19,0.42,45.16,1.41,93,137034.1
WideTrail_LetWinnersRun,1.25,16.04,0.82,-15.92,1.01,48.54,1.56,171,156916.19
Ultra_Aggressive,6.45,111.76,3.38,-18.93,5.9,55.0,3.13,160,969552.01
